 Game starts at: 1/9/2025 5:39:06 PM  
Event,Result,Datetime
NPC Spawn (GameController),Enemy,1/9/2025 5:39:12 PM 
Count Shot (ShootController),1,1/9/2025 5:39:23 PM 
Miss (GameController),0,1/9/2025 5:39:23 PM 
***** Lose (GameController),0,1/9/2025 5:39:23 PM***** 
NPC Spawn (GameController),Enemy,1/9/2025 5:42:14 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:42:15 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:42:16 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:42:17 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:42:18 PM 
Count Shot (ShootController),1,1/9/2025 5:42:22 PM 
Miss (GameController),0,1/9/2025 5:42:22 PM 
***** Lose (GameController),0,1/9/2025 5:42:22 PM***** 
NPC Spawn (GameController),Enemy,1/9/2025 5:45:45 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:46:53 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:47:17 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:47:19 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:47:22 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:47:24 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:47:27 PM 
***** Lose (GameController),0,1/9/2025 5:50:56 PM***** 
NPC Spawn (GameController),Ally,1/9/2025 5:51:30 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:51:31 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:51:33 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:51:34 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:51:35 PM 
Count Shot (ShootController),1,1/9/2025 5:51:38 PM 
Hit (GameController),456,1/9/2025 5:51:38 PM 
Count Shot (ShootController),2,1/9/2025 5:51:40 PM 
Hit (GameController),877,1/9/2025 5:51:40 PM 
***** Win (GameController),877,1/9/2025 5:51:40 PM***** 
NPC Spawn (GameController),Enemy,1/9/2025 5:55:18 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:55:20 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:55:21 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:55:22 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:55:25 PM 
Count Shot (ShootController),1,1/9/2025 5:55:30 PM 
Hit (GameController),417,1/9/2025 5:55:30 PM 
Count Shot (ShootController),2,1/9/2025 5:55:32 PM 
Hit (GameController),772,1/9/2025 5:55:32 PM 
***** Win (GameController),772,1/9/2025 5:55:32 PM***** 
NPC Spawn (GameController),Enemy,1/9/2025 5:56:16 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:56:17 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:56:19 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:56:20 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:56:21 PM 
Count Shot (ShootController),1,1/9/2025 5:56:25 PM 
Hit (GameController),453,1/9/2025 5:56:25 PM 
Count Shot (ShootController),2,1/9/2025 5:56:26 PM 
Hit (GameController),861,1/9/2025 5:56:26 PM 
***** Win (GameController),861,1/9/2025 5:56:26 PM***** 
NPC Spawn (GameController),Enemy,1/9/2025 5:57:15 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:57:17 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:57:18 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:57:20 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:57:21 PM 
NPC Spawn (GameController),Ally,1/9/2025 5:57:23 PM 
NPC Spawn (GameController),Enemy,1/9/2025 5:57:25 PM 
Count Shot (ShootController),1,1/9/2025 5:57:30 PM 
Miss (GameController),0,1/9/2025 5:57:30 PM 
***** Lose (GameController),0,1/9/2025 5:57:30 PM***** 
NPC Spawn (GameController),Enemy,1/9/2025 6:10:38 PM 
NPC Spawn (GameController),Enemy,1/9/2025 6:10:45 PM 
NPC Spawn (GameController),Ally,1/9/2025 6:10:47 PM 
NPC Spawn (GameController),Enemy,1/9/2025 6:10:48 PM 
NPC Spawn (GameController),Ally,1/9/2025 6:10:50 PM 
NPC Spawn (GameController),Ally,1/9/2025 6:10:51 PM 
NPC Spawn (GameController),Ally,1/9/2025 6:10:53 PM 
NPC Spawn (GameController),Enemy,1/9/2025 6:10:55 PM 
Count Shot (ShootController),1,1/9/2025 6:11:05 PM 
Count Shot (ShootController),2,1/9/2025 6:11:06 PM 
Count Shot (ShootController),3,1/9/2025 6:11:07 PM 
Count Shot (ShootController),4,1/9/2025 6:11:07 PM 
Count Shot (ShootController),5,1/9/2025 6:11:08 PM 
Count Shot (ShootController),6,1/9/2025 6:11:08 PM 
Count Shot (ShootController),7,1/9/2025 6:11:08 PM 
Count Shot (ShootController),8,1/9/2025 6:11:08 PM 
Count Shot (ShootController),9,1/9/2025 6:11:10 PM 
Count Shot (ShootController),10,1/9/2025 6:11:11 PM 
Hit (GameController),142,1/9/2025 6:11:12 PM 
Count Shot (ShootController),11,1/9/2025 6:11:13 PM 
Hit (GameController),244,1/9/2025 6:11:13 PM 
Count Shot (ShootController),12,1/9/2025 6:11:14 PM 
Count Shot (ShootController),13,1/9/2025 6:11:15 PM 
Count Shot (ShootController),14,1/9/2025 6:11:16 PM 
***** Lose (GameController),244,1/9/2025 6:11:17 PM***** 
NPC Spawn (GameController),Enemy,1/9/2025 6:50:06 PM 
Count Shot (ShootController),1,1/9/2025 6:50:09 PM 
Hit (GameController),487,1/9/2025 6:50:09 PM 
***** Win (GameController),487,1/9/2025 6:50:09 PM***** 
NPC Spawn (GameController),Ally,1/9/2025 9:46:01 PM 
NPC Spawn (GameController),Enemy,1/9/2025 9:46:47 PM 
NPC Spawn (GameController),Enemy,1/9/2025 9:46:50 PM 
NPC Spawn (GameController),Ally,1/9/2025 9:46:52 PM 
NPC Spawn (GameController),Ally,1/9/2025 9:46:55 PM 
NPC Spawn (GameController),Ally,1/9/2025 9:46:57 PM 
NPC Spawn (GameController),Enemy,1/9/2025 9:46:58 PM 
Count Shot (ShootController),1,1/9/2025 9:47:11 PM 
Hit (GameController),287,1/9/2025 9:47:11 PM 
Count Shot (ShootController),2,1/9/2025 9:47:13 PM 
Hit (GameController),523,1/9/2025 9:47:13 PM 
Count Shot (ShootController),3,1/9/2025 9:47:15 PM 
Hit (GameController),694,1/9/2025 9:47:15 PM 
